Name,Platform,Year_of_Release,Genre,Publisher,NA_Sales,EU_Sales,Other_Sales,Critic_Score,Critic_Count,User_Score,User_Count,Developer,Rating
NBA 2K16,X360,2015,Sports,Take-Two Interactive,0.79,0.05,0.1,,,3.2,24,Visual Concepts,E
Zapper: One Wicked Cricket!,GC,2002,Platform,Infogrames,0.1,0.03,0,,,,,"",""
Cold Stone Creamery: Scoop It Up,Wii,2009,Misc,Zoo Games,0.06,0,0,,,,,Zoo Games,E
Tamagotchi no Doki Doki Dream Omisecchi,3DS,2013,Simulation,Namco Bandai Games,0,0,0,,,,,"",""
Monster High: Ghoul Spirit,Wii,2011,Misc,THQ,0.42,0.07,0.04,,,,,THQ,E
Blood Bowl,PC,2009,Sports,Focus Home Interactive,0.02,0.02,0,72,34,6.5,57,Cyanide,T
Skylanders Imaginators,PS4,2016,Platform,Activision,0.04,0.08,0.02,80,47,5.5,17,Toys for Bob,E10+
Doom 64,N64,1997,Shooter,Midway Games,0.38,0.08,0.01,,,,,"",""
Naruto Shippuden: Ninja Destiny 3,DS,2006,Fighting,D3Publisher,0,0.01,0,,,,,"",""
Disney Sing It: Pop Hits,PS2,2009,Misc,Disney Interactive Studios,0.1,0.02,0.22,,,,,"",""
Halo 2 Multiplayer Map Pack,XB,2005,Shooter,Microsoft Game Studios,0.54,0.13,0.02,89,37,7.4,34,Bungie Software,M
Real Sound: Kaze no Riguretto,SAT,1997,Adventure,Warp,0,0,0,,,,,"",""
The Legend of Spyro: The Eternal Night,PS2,2007,Platform,Vivendi Games,0.21,0.16,0.05,54,18,5.4,28,Krome Studios,E10+
Lilpri DS: Hime-Chen! Apple Pink,DS,2010,Adventure,Sega,0,0,0,,,,,"",""
Rayman Arena,PS2,2001,Racing,Ubisoft,0.29,0.23,0.08,63,10,8.6,8,Ubisoft,E
Iridium Runners,PS2,2008,Racing,SouthPeak Games,0.01,0.01,0,57,12,,,Playstos Entertainment,E
Wakeboarding Unleashed Featuring Shaun Murray,PS2,2003,Sports,Activision,0.08,0.06,0.02,83,23,9,12,Shaba Games,E
The Urbz: Sims in the City (all regions sales),DS,2004,Simulation,Electronic Arts,0.4,0.01,0,,,,,"",""
Homeworld 2,PC,2003,Strategy,Vivendi Games,0,0.03,0,83,31,8.3,128,Relic,T
Backyard NFL Football 2006,GBA,2005,Sports,Atari,0.02,0.01,0,,,,,"",""
Ninja Gaiden II,X360,2008,Action,Tecmo Koei,0.65,0.22,0.1,81,74,8,302,"Team Ninja, Tecmo",M
Rayman Raving Rabbids 2,DS,2007,Misc,Ubisoft,0.73,0.01,0.06,57,8,7,15,Ubisoft Paris,E10+
The Cursed Crusade,PC,2011,Action,DTP Entertainment,0,0.03,0.01,55,7,6,33,Kylotonn,M
Totally Spies!,GBA,2005,Platform,Atari,0.02,0.01,0,,,,,"",""
Spec Ops: The Line,PS3,2012,Shooter,Take-Two Interactive,0.19,0.23,0.08,77,27,8,350,Yager,M
Ken to Mahou to Gakuen Mono. 3,PS3,2010,Role-Playing,Acquire,0,0,0,,,,,"",""
Bejeweled Twist,DS,2010,Puzzle,PopCap Games,0,0.08,0.01,77,10,,,Griptonite Games,E
Nobunaga no Yabou DS,DS,2006,Strategy,Tecmo Koei,0,0,0,,,,,"",""
Torchlight,PC,2009,Role-Playing,JoWood Productions,0,0.06,0.01,83,57,8,794,Runic Games,T
Dragon Ball Z: Budokai,PS2,2002,Fighting,Atari,2.17,0.28,0.08,67,28,7.9,71,Dimps Corporation,T
Hatsune Miku: Project Mirai DX,3DS,2015,Misc,Sega,0.16,0.04,0.02,80,32,8.5,71,Sega,E10+
Pokemon Card GB2: Here Comes Team GR!,GB,2001,Strategy,Nintendo,0,0,0,,,,,"",""
Yu-Gi-Oh! 5D's Tag Force 6,PSP,2011,Strategy,Konami Digital Entertainment,0,0,0,,,,,"",""
Jewel Match,DS,2010,Puzzle,PlayV,0.05,0.11,0.02,,,,,Joindots,E
Virtua Cop,SAT,1995,Shooter,Sega,0,0,0,,,,,"",""
Need for Speed Carbon,XB,2006,Racing,Electronic Arts,0.35,0.1,0.02,74,19,7.4,11,EA Canada,E10+
FIFA Soccer 13,X360,2012,Action,Electronic Arts,1.09,3.47,0.57,90,48,6.1,403,Electronic Arts,E
MLB Pennant Race,PS,1996,Sports,Sony Computer Entertainment,0.16,0.11,0.02,,,,,"",""
Need for Speed: Nitro,DS,2009,Racing,Electronic Arts,0.21,0.13,0.04,70,7,6.3,7,Firebrand Games,E10+
Taishou Moebius Line Vitable,PSV,2016,Adventure,dramatic create,0,0,0,,,,,"",""
Brain Assist,DS,2007,Misc,Sega,0.12,0,0.01,53,17,,,Sega,E
Katekyoo Hitman Reborn! DS: Bongole Shiki Taisen Battle Sugoroku,DS,2008,Misc,Takara Tomy,0,0,0,,,,,"",""
The Naked Brothers Band: The Video Game,PS2,2008,Misc,THQ,0.08,0.06,0.02,,,,,"",""
Girls Only,DS,2010,Simulation,Foreign Media Games,0.03,0,0,,,,,"",""
Dark Rift,N64,1997,Fighting,Vic Tokai,0.12,0.03,0,,,,,"",""
Soccer Tsuku 2002: J-League Pro Soccer Club o Tsukurou!,PS2,2002,Sports,Sega,0,0,0,,,,,"",""
Fallout 3,X360,2008,Role-Playing,Bethesda Softworks,3.4,0.99,0.45,93,84,8.5,1655,Bethesda Game Studios,M
Burnout Paradise: The Ultimate Box,X360,2009,Racing,Electronic Arts,0,0.03,0,,,,,"",""
Ogre Battle Saga Episode Five: The March of the Black Queen,PS,1996,Role-Playing,ArtDink,0.06,0.04,0.01,,,,,"",""
NFL Street 2,PS2,2004,Sports,Electronic Arts,0.79,0.62,0.21,77,33,8.7,20,EA Tiburon,E
Etrian Mystery Dungeon,3DS,2015,Role-Playing,Nippon Ichi Software,0.09,0.01,0.01,77,44,7.9,49,Spike Chunsoft,E10+
Super Robot Gakuen,DS,2009,Adventure,Namco Bandai Games,0,0,0,,,,,"",""
SeaWorld Adventure Parks: Shamu's Deep Sea Adventure,GBA,2005,Adventure,Activision,0.06,0.02,0,,,,,"",""
Knockout Kings 2000,PS,1999,Fighting,Electronic Arts,1.02,0.34,0.05,,,,,"",""
Just Dance 3,PS3,2011,Misc,Ubisoft,0.33,0.2,0.09,75,5,6,7,Ubisoft,E10+
SingStar '80s,PS2,2005,Misc,Sony Computer Entertainment,0.27,0.02,1.02,78,22,8.3,6,SCEA,T
Kurupoto Cool Cool Stars,DS,2007,Action,Starfish,0.06,0,0,,,,,Starfish SD,E
Ginga Tetsudou 999 DS,DS,2010,Adventure,Culture Brain,0,0,0,,,,,"",""
Battle vs. Chess,X360,2011,Misc,TopWare Interactive,0,0.02,0,,,,,"Targem Games, TopWare Interactive",T
MotoGP 15,XOne,2015,Racing,Milestone S.r.l.,0,0.03,0,65,9,,,Milestone S.r.l,""
Pictionary: Ultimate Edition,X360,2011,Misc,THQ,0.16,0.05,0.02,53,4,,,Page 44 Studios,E
Summoner: A Goddess Reborn,GC,2003,Role-Playing,THQ,0.04,0.01,0,72,19,,,Cranky Pants Games,T
Sword Art Online: Lost Song,PS4,2015,Role-Playing,Namco Bandai Games,0.1,0.11,0.04,63,32,6.3,60,"Bandai Namco Games, Artdink",T
Final Fantasy XIV: Heavensward,PS3,2015,Action,Square Enix,0.01,0,0,,,8.2,72,Square Enix,T
Story of Seasons: Good Friends of the Three Villages,3DS,2016,Simulation,Marvelous Interactive,0,0,0,,,,,"",""
Bakugan Battle Brawlers: Defenders of the Core,X360,2010,Action,Activision,0.11,0.02,0.01,62,10,,,Now Production,E10+
EverQuest Online Adventures: Frontiers,PS2,2003,Role-Playing,Sony Online Entertainment,0.09,0.07,0.02,77,16,8.5,17,Sony Online Entertainment,T
Sonic Generations,X360,2011,Platform,Sega,0.71,0.53,0.13,77,49,8.3,340,"Sega, Sonic Team",E
Super Collapse! 3,DS,2007,Puzzle,Mumbo Jumbo,0.25,0,0.02,71,10,,,"Mac Play, MacPlay",E
Tiger Woods PGA Tour 06,X360,2005,Sports,Electronic Arts,0.28,0,0.02,71,36,7.4,8,EA Sports,E
Petz Catz Clan,DS,2008,Simulation,Ubisoft,0.47,0.03,0.04,,,,,Digital Kids,E
GT Legends,PC,2005,Racing,Atari,0,0.02,0,84,21,8.6,44,SimBin,E
Song of the Deep,XOne,2016,Action,Insomniac Games,0.05,0,0.01,66,12,6.9,20,Insomniac Games,E
"Hisshou Pachinko*Pachi-Slot Kouryaku Series Vol. 11: Shinseiki Evangelion - Magokoro o, Kimi ni",PS2,2007,Misc,D3Publisher,0,0,0,,,,,"",""
Diva Girls: Divas on Ice,Wii,2009,Sports,505 Games,0.07,0,0.01,,,,,Arc System Works,E
Tom Clancy's Splinter Cell Classic Trilogy HD,PS3,2011,Action,Ubisoft,0.02,0,0,67,21,6.8,29,Ubisoft,M
Escape Dead Island,PS3,2014,Action,Deep Silver,0.04,0.03,0.01,40,25,3.5,51,Fatshark AB,M
Starwinder: The Ultimate Space Race,PS,1996,Racing,Mindscape,0.03,0.02,0,,,,,"",""
Disney Universe,X360,2011,Action,Disney Interactive Studios,0.37,0.14,0.05,66,31,5.3,13,Eurocom Entertainment Software,E10+
AMF Bowling World Lanes,Wii,2008,Sports,Bethesda Softworks,0.33,0,0.03,,,1.1,10,Vir2L Studios,E
World Championship Athletics,Wii,2009,Sports,DTP Entertainment,0.04,0.01,0,,,,,Crave,E
Gekiatsu!! Pachi Game Tamashi: CR Evangelion - Hajimari no Fukuin,PS3,2010,Misc,Unknown,0,0,0,,,,,"",""
Bulletstorm,X360,2011,Shooter,Electronic Arts,0.61,0.32,0.08,84,83,7.6,439,"Epic Games, People Can Fly",M
Mario Kart: Super Circuit,GBA,2001,Racing,Nintendo,2.62,1.64,0.23,93,24,8.3,108,Intelligent Systems,E
Jikkyou Powerful Pro Yakyuu 2014,PSV,2014,Sports,Konami Digital Entertainment,0,0,0,,,,,"",""
Rock Band Track Pack Volume 2,X360,2008,Misc,MTV Games,0.17,0.01,0.01,,,,,Harmonix Music Systems,T
Madden NFL 11,PSP,2010,Sports,Electronic Arts,0.35,0,0.03,,,,,EA Tiburon,E
Samurai Warriors 2: Empires,X360,2007,Action,Tecmo Koei,0.03,0,0,53,29,8.5,13,Omega Force,T
Big Bang Mini,DS,2009,Shooter,SouthPeak Games,0.05,0,0,78,39,8.2,26,Arkedo Studio,E
Operation Flashpoint: Elite,XB,2005,Shooter,Codemasters,0.03,0.01,0,64,24,8.3,27,Bohemia Interactive,T
Turbo Prop Racing,PS,1997,Racing,Sony Computer Entertainment,0.08,0.06,0.01,,,,,"",""
XGIII: Extreme G Racing,GC,2001,Racing,Acclaim Entertainment,0.12,0.03,0,83,21,7.8,14,Acclaim,E
Finding Nemo: The Continuing Adventures,GBA,2004,Action,THQ,0.21,0.08,0.01,,,,,Altron,E
Call of Duty 2,X360,2005,Shooter,Activision,1.82,0.04,0.16,89,65,8.1,307,Infinity Ward,T
Dead Island: Riptide,PS3,2013,Action,Deep Silver,0.26,0.19,0.09,62,25,5.9,140,Techland,M
World Series of Poker: Tournament of Champions 2007 Edition,PSP,2006,Misc,Activision,0.1,0,0.01,,,,,"",""
Nintendogs + cats,3DS,2011,Simulation,Nintendo,1.44,1.41,0.27,,,,,"",""
The House of the Dead 2 & 3 Return,Wii,2008,Shooter,Sega,0.77,0.49,0.15,,,,,"",""
Mugen Souls,PS3,2012,Role-Playing,Nippon Ichi Software,0.04,0.02,0.01,55,24,7.3,35,"Compile Heart, GCREST",T
Alvin and the Chipmunks,PS2,2007,Misc,Brash Entertainment,0.04,0.03,0.01,33,5,4.5,6,Sensory Sweep,E
MTV Music Generator 2,PS2,2001,Misc,Codemasters,0.08,0.06,0.02,77,16,8.5,11,Jester Interactive,T
Homefront: The Revolution,PC,2016,Shooter,Deep Silver,0.01,0.02,0,54,48,3.5,284,Deep Silver Dambuster Studios,M
NBA Live 2002,PS,2001,Sports,Electronic Arts,0.29,0.19,0.03,81,6,8.8,9,EA Canada,E
TMNT,Wii,2007,Action,Ubisoft,0.3,0.03,0.03,60,17,5.9,11,Ubisoft Montreal,E10+
Spider-Man: Shattered Dimensions,X360,2010,Action,Activision,0.24,0.08,0.03,76,68,7.6,96,Beenox,T
Ridge Racer Revolution,PS,1995,Racing,Sony Computer Entertainment,0.17,0.12,0.07,,,,,"",""
Mario Party Advance,GBA,2005,Misc,Nintendo,0.5,0.19,0.02,54,27,5.4,34,Hudson,E
WWE 2K15,XOne,2014,Sports,Take-Two Interactive,0.29,0.23,0.05,56,25,5.7,63,Yuke's,T
Sengoku Basara 2,PS2,2006,Action,Capcom,0,0,0,,,,,"",""
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,2014,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Imagine: Gymnast,DS,2008,Simulation,Ubisoft,0.05,0.01,0,,,,,Ubisoft,E
Rockstar Games presents Table Tennis,Wii,2007,Sports,Take-Two Interactive,0.39,0.72,0.15,68,36,5.8,21,Rockstar San Diego,E
Aliens: Colonial Marines,PC,2013,Shooter,Sega,0.1,0.06,0.02,45,40,3.5,1156,Gearbox Software,M
Sniper: Ghost Warrior,PS3,2011,Shooter,City Interactive,0.27,0.34,0.13,53,17,6,34,City Interactive,M
Derby Stallion 64,N64,2001,Sports,Media Factory,0,0,0,,,,,"",""
Madden NFL 2005,PS2,2004,Sports,Electronic Arts,4.18,0.26,0.08,91,30,7.9,78,EA Tiburon,E
Atelier Iris 2: The Azoth Of Destiny,PS2,2005,Role-Playing,Tecmo Koei,0.03,0.02,0.01,68,34,7.8,14,Gust,E10+
Anno 2205,PC,2015,Strategy,Ubisoft,0.02,0.22,0.02,72,45,5.9,278,Blue Byte,E10+
The Smurfs 2,PS3,2013,Platform,Ubisoft,0.02,0.06,0.02,,,5,7,WayForward,E
NFL Street,PS2,2004,Sports,Electronic Arts,1.15,0.08,0.19,80,36,8.9,45,EA Tiburon,E
Constantine,XB,2005,Action,SCi,0.04,0.01,0,60,31,7.1,17,Bits Studios,M
Tetris 2 (All region sales),GB,1992,Puzzle,Nintendo,0.56,0.22,0.03,,,,,"",""
Need for Speed Rivals,XOne,2013,Racing,Electronic Arts,0.46,0.17,0.07,75,18,5.8,175,Ghost Games,E10+
MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.12,78,36,7.6,9,989 Sports,E
IHRA Drag Racing 2,PS2,2002,Racing,Bethesda Softworks,0.64,0.5,0.17,,,7.4,63,Bethesda Softworks,E
Scrabble (Others sales),DS,2009,Puzzle,Ubisoft,0,0.23,0,,,,,"",""
Naruto: Ultimate Ninja Heroes (JP sales),PSP,2006,Fighting,Namco Bandai Games,0,0,0,,,,,"",""
Silent Hill: Origins,PSP,2007,Action,Konami Digital Entertainment,0.22,0.15,0.1,78,40,7.8,107,"Climax Group, Climax Studios",M
Harukanaru Toki no Naka de 4: Aizouban,PSP,2010,Role-Playing,Tecmo Koei,0,0,0,,,,,"",""
Puzzle Quest: Challenge of the Warlords,PSP,2007,Puzzle,D3Publisher,0.01,0,0,84,32,8,19,"Vicious Cycle, Infinite Interactive",E10+
Ape Escape 2,PS2,2002,Platform,Sony Computer Entertainment,0.12,0.09,0.03,82,31,8.4,32,SCE Japan Studio,E
ABBA: You Can Dance,Wii,2011,Misc,Ubisoft,0.18,0.49,0.1,66,5,,,Ubisoft,E10+
Def Jam Rapstar,Wii,2010,Misc,Konami Digital Entertainment,0.29,0.02,0.02,65,5,,,"Terminal Reality, 4mm Games",T
Crash 'N' Burn,PS2,2004,Racing,Eidos Interactive,0.11,0.08,0.03,63,17,8,7,Climax Group,T
James Bond 007: Nightfire,PS2,2002,Shooter,Electronic Arts,1.45,1.29,0.46,77,20,8.5,66,Eurocom Entertainment Software,T
Alone in the Dark,X360,2008,Adventure,Atari,0.14,0.3,0.05,58,53,5.7,162,Eden Studios,M
Agassi Tennis Generation,PS2,2003,Sports,DreamCatcher Interactive,0.04,0.03,0.01,,,6,4,Aqua Pacific,E
Ao no Kanata no Four Rhythm,PSV,2016,Adventure,Unknown,0,0,0,,,,,"",""
Gravity Rush,PSV,2012,Action,Sony Computer Entertainment,0.21,0.17,0.08,83,73,8.5,625,SCE Japan Studio,T
The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0.15,71,30,7.5,49,EA Redwood Shores,T
Tony Hawk's Pro Skater 2,N64,2001,Sports,Activision,0.59,0.16,0.01,,,,,"",""
Pro Evolution Soccer 2017,XOne,2016,Sports,Konami Digital Entertainment,0.01,0.03,0,87,12,6.1,84,Konami,E
Dream Salon,DS,2009,Misc,Zoo Digital Publishing,0.18,0,0.01,,,,,Zoo Games,E
Kirby's Epic Yarn,Wii,2010,Platform,Nintendo,1.42,0.09,0.1,,,,,"",""
Smash Court Tennis 3,PSP,2007,Sports,Namco Bandai Games,0.01,0.01,0.01,68,30,6.3,4,"Namco Bandai Games America, Namco Bandai Games",E
The Adventures of Cookie & Cream,PS2,2000,Puzzle,Empire Interactive,0.09,0.07,0.02,,,,,"",""
Quake 4,X360,2005,Shooter,Activision,0.32,0.02,0.03,75,52,6.7,80,Raven Software,M
NCAA March Madness 2004,PS2,2003,Sports,Electronic Arts,0.5,0.39,0.13,82,16,8.8,12,NuFX,E
Deadly Creatures,Wii,2009,Action,THQ,0.08,0.12,0.02,72,45,8.8,36,Rainbow Studios,T
Dramatical Murder Re:code,PSV,2014,Adventure,Nitroplus,0,0,0,,,,,"",""
BeatMania IIDX 16: Empress + Premium Best,PS2,2009,Simulation,Konami Digital Entertainment,0,0,0,,,,,"",""
Zoo Tycoon 2: Ultimate Collection,PC,2008,Strategy,Microsoft Game Studios,0.04,0.18,0.04,,,8.4,14,Blue Fang Games,E
Red Dead Redemption,PS3,2010,Action,Take-Two Interactive,2.79,2.53,0.99,95,73,8.8,2456,Rockstar San Diego,M
Metal Gear Solid: The Essential Collection (JP sales),PS2,2007,Adventure,Konami Digital Entertainment,0,0,0,,,,,"",""
Block Party,Wii,2008,Misc,Activision,0.14,0,0.01,,,2.8,4,Activision,E10+
Brothers Conflict: Precious Baby,PSV,2017,Action,Idea Factory,0,0,0,,,,,"",""
Dead Rising 2,PS3,2010,Action,Capcom,0.43,0.56,0.21,80,54,6.7,178,Blue Castle Games,M
Criminal Girls: Invite Only,PSV,2013,Role-Playing,Nippon Ichi Software,0.01,0.01,0.01,55,31,6.7,37,"Image Epoch, Imageepoch",M
Rogue Trooper,PS2,2006,Shooter,Eidos Interactive,0.02,0.02,0.01,71,37,8.2,9,Rebellion,T
Madden NFL 11,Wii,,Sports,Unknown,0.68,0,0.04,75,6,5.4,7,EA Tiburon,E
Black,XB,2006,Shooter,Electronic Arts,0.31,0.09,0.01,77,65,8,51,Criterion Games,M
Disney's Extreme Skate Adventure,PS2,2003,Sports,Activision,0.16,0.12,0.04,78,15,8.3,12,Toys for Bob,E
Outdoors Unleashed: Alaska 3D,3DS,2011,Sports,Mastiff,0.01,0,0,,,,,Mastiff,T
Bakugan Battle Brawlers: Defenders of the Core,DS,2010,Action,Activision,0.41,0.02,0.03,,,,,Now Production,E10+
"WarioWare, Inc.: Mega Party Game$",GC,2003,Puzzle,Nintendo,0.2,0.05,0.02,,,,,"",""
Dead Ball Zone,PS,1998,Sports,GT Interactive,0.02,0.02,0,,,,,"",""
Final Fantasy III,PSP,2012,Role-Playing,Square Enix,0,0,0,,,8.9,15,Matrix Software,T
Dynasty Warriors 6,X360,2007,Action,Tecmo Koei,0.15,0.06,0.02,60,42,7.4,22,Omega Force,T
SSX On Tour,XB,2005,Sports,Electronic Arts,0.11,0.03,0.01,81,35,8.1,10,EA Canada,E
Muramasa: The Demon Blade,PSV,2013,Role-Playing,Marvelous Entertainment,0.1,0,0.02,,,,,"",""
Wipeout 2,Wii,2011,Misc,Activision,0.3,0,0.02,,,,,Endemol,E10+
Company of Heroes: Tales of Valor,PC,2009,Strategy,THQ,0,0.03,0.01,70,42,7.2,204,Relic,M
Shockwave Assault,PS,1995,Simulation,Electronic Arts,0.05,0.04,0.01,,,,,"",""
Dynasty Warriors: Strikeforce,X360,2009,Action,Tecmo Koei,0.13,0.06,0.02,59,18,5.7,12,Omega Force,T
Daikaijyuu Monogatari II,SNES,1996,Role-Playing,Hudson Soft,0,0,0,,,,,"",""
The King of Fighters '99,PS,2000,Fighting,SNK,0,0,0.01,,,8.9,39,SNK,T
Strider (2014),PS3,2014,Platform,Capcom,0,0,0,,,,,"",""
Spec Ops: Airborne Commando,PS,2002,Shooter,Take-Two Interactive,1.54,0.46,0.08,,,,,"",""
NHL 10,PS3,2009,Sports,Electronic Arts,0.38,0.12,0.07,88,35,7.9,40,EA Canada,E10+
Bleach DS 4th: Flame Bringer,DS,2009,Action,Sega,0,0,0,,,,,"",""
Fuuraiki 3,PSV,2015,Action,Unknown,0,0,0,,,,,"",""
SpongeBob SquarePants: Battle for Bikini Bottom,PS2,2003,Platform,THQ,1.08,0.45,0.14,71,9,9,85,Heavy Iron Studios,E
WWII Aces,Wii,2008,Simulation,Destineer,0.25,0,0.02,41,7,5.4,18,Arcade Moon,T
Horrid Henry's Horrid Adventure,DS,2010,Adventure,Asylum Entertainment,0,0.07,0.01,,,,,"",""
LittleBigPlanet 3,PS3,2014,Platform,Sony Computer Entertainment,0.2,0.33,0.1,,,7.2,64,Sumo Digital,E
Final Fantasy II,WS,2001,Role-Playing,SquareSoft,0,0,0,,,,,"",""
Tokyo Mono Harashi: Karasu no Mori Gakuen Kitan,PSP,2010,Role-Playing,Atlus,0,0,0,,,,,"",""
Saints Row: The Third,PC,2011,Action,THQ,0.16,0.16,0.06,84,22,8.1,1263,Volition Inc.,M
Fire Emblem: Seisen no Keifu,SNES,1996,Strategy,Nintendo,0,0,0,,,,,"",""
Lara Croft and the Temple of Osiris,PS4,2014,Action,Square Enix,0,0.07,0.01,74,40,6.7,128,Nixxes Software,T
Carnage Heart,PS,1995,Strategy,Sony Computer Entertainment,0.01,0.01,0.01,,,,,"",""
EverQuest Online Adventures,PS2,2003,Role-Playing,Sony Online Entertainment,0.21,0.16,0.05,74,22,8.2,33,Sony Online Entertainment,T
Sacred Gold,PC,2005,Role-Playing,Encore,0,0.02,0,,,8.2,25,Ascaron Entertainment GmbH,T
Hot Potato!,GBA,2001,Action,BAM! Entertainment,0.03,0.01,0,,,,,"",""
Boogie,DS,2007,Misc,Electronic Arts,0.24,0,0.02,58,11,,,EA Montreal,E10+
Yarudora Series Vol.1: Double Cast,PS,1998,Adventure,Sony Computer Entertainment,0,0,0.02,,,,,"",""
Corpse Party: Blood Drive,PSV,2014,Adventure,Marvelous Interactive,0.08,0.01,0.03,60,19,7.4,58,5pb,M
Lifeline,PS2,2003,Adventure,Sony Computer Entertainment,0.03,0.03,0.01,61,31,7.7,9,SCEJ,M
Dragon Warrior Monsters,GB,1998,Role-Playing,Eidos Interactive,0,0,0.01,,,,,"",""
Hoppechan: Minna de Odekake! Waku Waku Hoppe Land!!,3DS,2014,Action,Nippon Columbia,0,0,0,,,,,"",""
Knockout Kings 2001,PS2,2001,Fighting,Electronic Arts,0.28,0.21,0.07,81,18,,,Black Ops Entertainment,T
Nintendogs and Cats Golden Retriever and New Friends,3DS,2011,Action,Nintendo,0,0.01,0,,,,,"",""
Katekyoo Hitman Reborn! DS: Flame Rumble Kaien Ring Soudatsuen!,DS,2007,Fighting,Takara Tomy,0,0,0,,,,,"",""
RPG Tsukuru DS,DS,2010,Role-Playing,Enterbrain,0,0,0,,,,,"",""
Chou Ezaru wa Akai Hana: Koi wa Tsuki ni Shirube Kareru,PSV,2016,Action,dramatic create,0,0,0,,,,,"",""
F.E.A.R. Files,X360,2007,Shooter,Vivendi Games,0.07,0.01,0.01,66,43,7.1,16,"TimeGate Studios, Day 1 Studios",M
Babysitting Mama,Wii,2010,Simulation,505 Games,0.33,0.12,0.04,,,,,Cooking Mama Limited,E
I Spy: Fun House,DS,2007,Puzzle,Scholastic Inc.,0.76,0,0.06,53,6,,,Big Blue Bubble Inc.,E
Shining Resonance,PS3,2014,Role-Playing,Sega,0,0,0,,,,,"",""
Hulk,GC,2003,Action,Universal Interactive,0.15,0.04,0.01,71,26,7.4,7,Radical Entertainment,T
The Misadventures of Tron Bonne,PS,1999,Adventure,Eidos Interactive,0.03,0.02,0,,,,,"",""
Nobunaga's Ambition II,3DS,2015,Strategy,Tecmo Koei,0,0,0,,,,,"",""
Resident Evil 6,PS3,2012,Shooter,Capcom,0.88,0.94,0.4,74,34,5.4,1304,Capcom,M
Karaoke Revolution Presents American Idol Encore 2,PS3,2008,Misc,Konami Digital Entertainment,0.11,0,0.01,,,,,Blitz Games,E10+
Dark Souls II,PS4,2015,Role-Playing,Namco Bandai Games,0.21,0.23,0.09,,,,,"",""
Taiko no Tatsujin DS: Touch de Dokodon!,DS,2007,Misc,Namco Bandai Games,0,0,0,,,,,"",""
Pen 1 Grand Prix: Penguin no Mondai Special,DS,2009,Fighting,Konami Digital Entertainment,0,0,0,,,,,"",""
FIFA Soccer 08,Wii,2007,Sports,Electronic Arts,0.32,0.59,0.11,65,13,6.1,26,EA Canada,E
Disney's Atlantis: The Lost Empire,PS,2001,Platform,Sony Computer Entertainment,0.1,0.07,0.01,73,7,8.5,6,Eurocom Entertainment Software,E
Planet 51,X360,2009,Action,Sega,0.07,0.03,0.01,53,13,,,Pyro Studios,E
Lucian Bee's: Justice Yellow / Evil Violet,PS2,2010,Adventure,5pb,0,0,0,,,,,"",""
Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.12,80,21,6.2,1489,Ubisoft,M
The Chronicles of Riddick: Assault on Dark Athena,PS3,2009,Shooter,Vivendi Games,0.12,0.09,0.04,80,45,7.7,40,Starbreeze,M
Who Wants to be a Millionaire: 2nd Edition,Wii,2008,Misc,Ubisoft,0,0.02,0,,,,,"",""
World Soccer Winning Eleven 9 (US sales),PSP,2005,Sports,Konami Digital Entertainment,0.05,0,0,,,,,"",""
Cart World Series,PS,1997,Racing,Sony Computer Entertainment,0.17,0.11,0.02,,,,,"",""
Breath of Fire IV,PS,2000,Role-Playing,Capcom,0.11,0.08,0.04,83,10,8.9,45,Capcom,T
Far Cry 2,PS3,2008,Action,Ubisoft,0.43,0.69,0.26,85,49,6.4,241,Ubisoft Montreal,M
The King of Fighters '94,NG,1994,Fighting,SNK,0,0,0,,,,,"",""
Fushigi no Dungeon: Fuurai no Shiren 3 Portable,PSP,2010,Role-Playing,Spike,0,0,0,,,,,"",""
Lock's Quest,DS,2008,Strategy,THQ,0.08,0,0.01,80,32,8.7,27,5TH Cell,E
Counter-Strike: Source,PC,2004,Shooter,Vivendi Games,0,0.07,0.02,88,9,8.9,9851,Valve Software,M
Izumo 2,PS2,2006,Adventure,GN Software,0,0,0,,,,,"",""
Daito Giken Koushiki Pachi-Slot Simulator: Hihouden - Ossu! Banchou - Yoshimune DS,DS,2007,Misc,Paon,0,0,0,,,,,"",""
Middle-Earth: Shadow of Mordor,PS4,2014,Action,Warner Bros. Interactive Entertainment,1.01,1.43,0.47,84,85,8.1,1886,Monolith Productions,M
Rock Band Track Pack Volume 2,PS2,2008,Misc,MTV Games,0.06,0.05,0.02,,,,,Harmonix Music Systems,T
Brothers In Arms: Road to Hill 30,PS2,2005,Shooter,Ubisoft,0.38,0.01,0.06,82,30,7.6,30,Gearbox Software,M
Conflict Zone,PS2,2002,Strategy,Ubisoft,0.1,0.08,0.03,47,7,7.4,8,MASA Group,T
Psycho-Pass: Mandatory Happiness,PS4,2016,Adventure,Nippon Ichi Software,0.03,0,0.01,72,26,8.3,19,5pb,T
Dragon Ball Z: Buu's Fury,GBA,2004,Action,Atari,0.44,0.16,0.01,62,19,8.9,39,Webfoot Technologies,E
